query	target	pident	evalue	qlen	tlen	alnlen	bits	tstart	tend	qstart	qend	qcov	tcov	neig1_id	query_source	query_clean	aro	gene_family	drug_class	mechanism	short_name	cryptic	has_human	tcov_tier	pident_tier
[CARD]gb|AID93387.1|ARO:3004660|catB11	AF-Q5F514-F1-model_v6	21.4	2.36e-07	210	171	141	351	45	170	26	166	0.6714285714285714	0.8245614035087719	Q5F514	CARD	gb|AID93387.1|ARO:3004660|catB11	ARO:3004660	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	catB11	True	False	70-90%	<30% cryptic
[CARD]gb|ADZ12700.1|ARO:3005090|RanB	AF-Q5F522-F1-model_v6	27.2	1.303e-12	253	258	246	688	9	252	3	248	0.9723320158102767	0.9534883720930233	Q5F522	CARD	gb|ADZ12700.1|ARO:3005090|RanB	ARO:3005090	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanB	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|Q5WNX0|BCRA_ENTFL	AF-Q5F523-F1-model_v6	22.8	4.0480000000000004e-21	308	266	232	889	1	232	2	225	0.7532467532467533	0.8721804511278195	Q5F523	SWISSPROT	sp|Q5WNX0|BCRA_ENTFL		Bacitracin transport ATP-binding protein BcrA			BCRA_ENTFL	True	True	70-90%	<30% cryptic
[CARD]gb|AAP82271.1|ARO:3004123|Bpse_Omp38	AF-Q5F526-F1-model_v6	9.9	1.891e-08	374	507	350	389	191	507	25	374	0.9358288770053476	0.6903353057199211	Q5F526	CARD	gb|AAP82271.1|ARO:3004123|Bpse_Omp38	ARO:3004123	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	reduced permeability to antibiotic	Bpse_Omp38	True	False	50-70%	<30% cryptic
[SWISSPROT]sp|Q5HG20|DCDA_STAAC	AF-Q5F538-F1-model_v6	33.8	2.309e-42	421	406	410	1693	2	402	10	419	0.9738717339667459	1.0	Q5F538	SWISSPROT	sp|Q5HG20|DCDA_STAAC		Diaminopimelate decarboxylase			DCDA_STAAC	False	True	90-100%	30-50% remote
[CARD]gb|ADZ12699.1|ARO:3005091|RanA	AF-Q5F548-F1-model_v6	22.3	2.207e-21	258	252	239	901	1	234	1	239	0.9263565891472868	0.9484126984126984	Q5F548	CARD	gb|ADZ12699.1|ARO:3005091|RanA	ARO:3005091	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanA	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|Q56148|CPT_STRVP	AF-Q5F560-F1-model_v6	16.8	1.913e-06	178	172	175	270	1	166	2	176	0.9831460674157303	1.0	Q5F560	SWISSPROT	sp|Q56148|CPT_STRVP		Chloramphenicol 3-O phosphotransferase			CPT_STRVP	True	True	90-100%	<30% cryptic
[CARD]gb|BAA03776.1|ARO:3000316|mphA	AF-Q5F561-F1-model_v6	16.2	5.679e-12	301	305	277	565	1	277	1	275	0.920265780730897	0.9081967213114754	Q5F561	CARD	gb|BAA03776.1|ARO:3000316|mphA	ARO:3000316	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	mphA	True	False	90-100%	<30% cryptic
[CARD]gb|WP_010896559.1|ARO:3004643|Erm(K)	AF-Q5F562-F1-model_v6	10.9	3.241e-07	284	242	240	327	1	240	17	195	0.8450704225352113	0.9917355371900827	Q5F562	CARD	gb|WP_010896559.1|ARO:3004643|Erm(K)	ARO:3004643	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(K)	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|Q54387|MGT_STRLI	AF-Q5F564-F1-model_v6	9.9	5.073e-07	418	351	379	330	1	350	20	398	0.9066985645933014	1.0	Q5F564	SWISSPROT	sp|Q54387|MGT_STRLI		Macrolide glycosyltransferase			MGT_STRLI	True	False	90-100%	<30% cryptic
[CARD]gb|CCI79240.1|ARO:3005047|eptB	AF-Q5F565-F1-model_v6	10.7	3.929e-10	574	550	538	495	1	510	24	561	0.9372822299651568	0.9781818181818182	Q5F565	CARD	gb|CCI79240.1|ARO:3005047|eptB	ARO:3005047	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	eptB	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|Q9HZ62|MUPP_PSEAE	AF-Q5F566-F1-model_v6	15.1	1.253e-06	226	187	216	303	1	179	6	221	0.9557522123893806	1.0	Q5F566	SWISSPROT	sp|Q9HZ62|MUPP_PSEAE		N-acetylmuramic acid 6-phosphate phosphatase			MUPP_PSEAE	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|Q9HZ62|MUPP_PSEAE	AF-Q5F575-F1-model_v6	19.7	4.314e-11	226	242	225	479	1	217	1	225	0.995575221238938	0.9297520661157025	Q5F575	SWISSPROT	sp|Q9HZ62|MUPP_PSEAE		N-acetylmuramic acid 6-phosphate phosphatase			MUPP_PSEAE	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|Q8Z541|ARNC_SALTI	AF-Q5F577-F1-model_v6	10.7	9.458e-06	327	456	216	260	1	216	5	198	0.6605504587155964	0.47368421052631576	Q5F577	SWISSPROT	sp|Q8Z541|ARNC_SALTI		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose trans			ARNC_SALTI	True	False	30-50%	<30% cryptic
[SWISSPROT]sp|P18330|SYI1_PSEFL	AF-Q5F585-F1-model_v6	13.0	4.911e-15	943	684	762	804	2	547	48	809	0.8080593849416755	1.0	Q5F585	SWISSPROT	sp|P18330|SYI1_PSEFL		Isoleucine--tRNA ligase 1			SYI1_PSEFL	True	True	90-100%	<30% cryptic
[CARD]gb|WP_102607457.1|ARO:3004361|sul4	AF-Q5F588-F1-model_v6	13.1	5.38e-06	287	633	293	287	234	526	10	285	1.0	0.4628751974723539	Q5F588	CARD	gb|WP_102607457.1|ARO:3004361|sul4	ARO:3004361	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	sul4	True	False	30-50%	<30% cryptic
[CARD]gb|ADZ12699.1|ARO:3005091|RanA	AF-Q5F590-F1-model_v6	27.7	4.9699999999999995e-22	258	313	237	927	1	232	1	237	0.9186046511627907	0.7571884984025559	Q5F590	CARD	gb|ADZ12699.1|ARO:3005091|RanA	ARO:3005091	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanA	True	True	70-90%	<30% cryptic
[CARD]gb|WP_150823494.1|ARO:3006977|PST-2	AF-Q5F596-F1-model_v6	17.6	1.215e-10	242	210	209	442	1	207	24	232	0.8636363636363636	0.9952380952380953	Q5F596	CARD	gb|WP_150823494.1|ARO:3006977|PST-2	ARO:3006977	PST beta-lactamase	carbapenem	antibiotic inactivation	PST-2	True	True	90-100%	<30% cryptic
[CARD]gb|CAA79966.1|ARO:3003665|NmcR	AF-Q5F5A2-F1-model_v6	20.5	2.625e-18	295	309	300	740	1	300	1	292	1.0	0.970873786407767	Q5F5A2	CARD	gb|CAA79966.1|ARO:3003665|NmcR	ARO:3003665	IMI beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	NmcR	True	False	90-100%	<30% cryptic
[CARD]gb|AAC75089.1|ARO:3003577|ugd	AF-Q5F5A8-F1-model_v6	11.9	7.993e-09	388	329	295	401	1	295	1	295	0.7603092783505154	0.8966565349544073	Q5F5A8	CARD	gb|AAC75089.1|ARO:3003577|ugd	ARO:3003577	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ugd	True	True	70-90%	<30% cryptic
[SWISSPROT]sp|P24619|GRM_MICRO	AF-Q5F5B4-F1-model_v6	11.3	6.098e-06	274	273	265	294	4	268	58	274	0.9671532846715328	0.9706959706959707	Q5F5B4	SWISSPROT	sp|P24619|GRM_MICRO		16S rRNA (guanine(1405)-N(7))-methyltransferase			GRM_MICRO	True	True	90-100%	<30% cryptic
[CARD]gb|VWQ00850.1|ARO:3003843|leuO	AF-Q5F5B5-F1-model_v6	8.5	2.983e-07	314	284	234	323	24	257	102	314	0.7452229299363057	0.823943661971831	Q5F5B5	CARD	gb|VWQ00850.1|ARO:3003843|leuO	ARO:3003843	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux	leuO	True	False	70-90%	<30% cryptic
[SWISSPROT]sp|P05529|MCBF_ECOLX	AF-Q5F5B6-F1-model_v6	21.1	1.767e-14	247	243	240	578	1	240	3	237	0.97165991902834	0.9876543209876543	Q5F5B6	SWISSPROT	sp|P05529|MCBF_ECOLX		Protein McbF			MCBF_ECOLX	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|A0A0H4TXY1|TET55_UNKP	AF-Q5F5C1-F1-model_v6	12.3	2.25e-09	385	366	349	416	1	349	4	321	0.9064935064935065	0.953551912568306	Q5F5C1	SWISSPROT	sp|A0A0H4TXY1|TET55_UNKP		Flavin-dependent monooxygenase			TET55_UNKP	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|O05701|DHPS_STAAU	AF-Q5F5C2-F1-model_v6	12.6	7.837e-06	267	205	253	274	7	202	1	253	0.947565543071161	1.0	Q5F5C2	SWISSPROT	sp|O05701|DHPS_STAAU		Dihydropteroate synthase			DHPS_STAAU	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|Q9HWC1|COAX_PSEAE	AF-Q5F5C8-F1-model_v6	25.6	1.099e-19	248	592	243	804	340	581	2	244	0.9798387096774194	0.41047297297297297	Q5F5C8	SWISSPROT	sp|Q9HWC1|COAX_PSEAE		Type III pantothenate kinase			COAX_PSEAE	True	False	30-50%	<30% cryptic
[CARD]gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	AF-Q5F5D0-F1-model_v6	13.0	2.037e-06	350	284	335	314	21	283	12	346	0.9571428571428572	1.0	Q5F5D0	CARD	gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	ARO:3002948	glycopeptide resistance gene cluster;vanH	glycopeptide antibiotic	antibiotic target alteration	vanH_in_vanO_cl	True	True	90-100%	<30% cryptic
[CARD]gb|CAB45459.1|ARO:3002914|vanJ	AF-Q5F5D5-F1-model_v6	15.0	1.262e-09	330	259	253	444	2	254	101	330	0.7666666666666667	0.9768339768339769	Q5F5D5	CARD	gb|CAB45459.1|ARO:3002914|vanJ	ARO:3002914	vanJ membrane protein	glycopeptide antibiotic	antibiotic target alteration	vanJ	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P18330|SYI1_PSEFL	AF-Q5F5D6-F1-model_v6	11.6	8.284e-07	943	473	790	393	19	449	47	836	0.8377518557794273	1.0	Q5F5D6	SWISSPROT	sp|P18330|SYI1_PSEFL		Isoleucine--tRNA ligase 1			SYI1_PSEFL	True	True	90-100%	<30% cryptic
[CARD]gb|OPG86592.1|ARO:3004626|Erm(49)	AF-Q5F5D8-F1-model_v6	13.3	4.507e-06	304	315	293	279	3	295	31	270	0.9638157894736842	0.9301587301587302	Q5F5D8	CARD	gb|OPG86592.1|ARO:3004626|Erm(49)	ARO:3004626	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(49)	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P0A6N3|EFTU_ECO57	AF-Q5F5D9-F1-model_v6	16.5	9.704e-08	394	384	224	358	160	383	13	210	0.5685279187817259	0.5833333333333334	Q5F5D9	SWISSPROT	sp|P0A6N3|EFTU_ECO57		Elongation factor Tu			EFTU_ECO57	True	True	50-70%	<30% cryptic
[SWISSPROT]sp|A0A0H4TXY1|TET55_UNKP	AF-Q5F5E9-F1-model_v6	9.4	3.393e-08	385	488	486	369	1	486	1	352	1.0	0.9959016393442623	Q5F5E9	SWISSPROT	sp|A0A0H4TXY1|TET55_UNKP		Flavin-dependent monooxygenase			TET55_UNKP	True	False	90-100%	<30% cryptic
[CARD]gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	AF-Q5F5F0-F1-model_v6	15.3	1.854e-08	184	196	184	355	1	184	1	183	1.0	0.9387755102040817	Q5F5F0	CARD	gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	ARO:3002594	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-IIa	True	False	90-100%	<30% cryptic
[CARD]gb|BAA32493.1|ARO:3000423|FomA	AF-Q5F5F5-F1-model_v6	12.9	2.463e-10	266	239	261	432	5	238	1	261	0.981203007518797	1.0	Q5F5F5	CARD	gb|BAA32493.1|ARO:3000423|FomA	ARO:3000423	Fom phosphotransferase family	phosphonic acid antibiotic	antibiotic inactivation	FomA	True	False	90-100%	<30% cryptic
[CARD]gb|AAS13767.1|ARO:3003839|Mrx	AF-Q5F5H2-F1-model_v6	15.1	6.948e-08	412	485	473	487	1	473	1	391	1.0	0.9752577319587629	Q5F5H2	CARD	gb|AAS13767.1|ARO:3003839|Mrx	ARO:3003839	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	Mrx	True	True	90-100%	<30% cryptic
[SWISSPROT]sp|P0C002|DHP1_ECOLX	AF-Q5F5H9-F1-model_v6	11.6	8.127e-06	279	280	279	281	1	279	1	271	1.0	0.9964285714285714	Q5F5H9	SWISSPROT	sp|P0C002|DHP1_ECOLX		Dihydropteroate synthase type-1			DHP1_ECOLX	True	False	90-100%	<30% cryptic
[CARD]gb|AAL27442.1|ARO:3002907|vanE	AF-Q5F5I6-F1-model_v6	13.0	6.312e-15	352	423	342	629	1	318	1	342	0.9715909090909091	0.8085106382978723	Q5F5I6	CARD	gb|AAL27442.1|ARO:3002907|vanE	ARO:3002907	Van ligase;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	vanE	True	True	70-90%	<30% cryptic
[SWISSPROT]sp|Q9HTC0|WBPZ_PSEAE	AF-Q5F5J0-F1-model_v6	11.0	1.011e-06	381	322	341	306	1	321	1	341	0.89501312335958	1.0	Q5F5J0	SWISSPROT	sp|Q9HTC0|WBPZ_PSEAE		D-rhamnosyltransferase WbpZ			WBPZ_PSEAE	True	False	90-100%	<30% cryptic
[SWISSPROT]sp|C5NU54|STTH2_STRNR	AF-Q5F5J1-F1-model_v6	16.2	2.702e-07	252	211	198	303	1	198	45	215	0.7857142857142857	0.9383886255924171	Q5F5J1	SWISSPROT	sp|C5NU54|STTH2_STRNR		Streptothricin hydrolase			STTH2_STRNR	True	False	90-100%	<30% cryptic
[CARD]gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	AF-Q5F5J6-F1-model_v6	14.5	3.106e-06	184	163	175	272	1	161	1	175	0.9510869565217391	1.0	Q5F5J6	CARD	gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	ARO:3002594	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')-IIa	True	False	90-100%	<30% cryptic
[CARD]gb|ADZ12699.1|ARO:3005091|RanA	AF-Q5F5K2-F1-model_v6	32.2	2.8009999999999995e-22	258	216	216	937	1	215	1	216	0.8372093023255814	1.0	Q5F5K2	CARD	gb|ADZ12699.1|ARO:3005091|RanA	ARO:3005091	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanA	False	True	90-100%	30-50% remote
[SWISSPROT]sp|A1BE50|MACB_CHLPD	AF-Q5F5K3-F1-model_v6	13.9	3.325e-07	657	305	393	388	1	295	252	644	0.5981735159817352	1.0	Q5F5K3	SWISSPROT	sp|A1BE50|MACB_CHLPD		Macrolide export ATP-binding/permease protein MacB			MACB_CHLPD	True	False	90-100%	<30% cryptic
[CARD]gb|AAN28945.1|ARO:3003785|Ctra_murA_FOF	AF-Q5F5K6-F1-model_v6	33.0	3.993e-44	444	417	433	1765	1	411	1	433	0.9752252252252253	1.0	Q5F5K6	CARD	gb|AAN28945.1|ARO:3003785|Ctra_murA_FOF	ARO:3003785	antibiotic-resistant murA transferase	phosphonic acid antibiotic	antibiotic target alteration	Ctra_murA_FOF	False	False	90-100%	30-50% remote
[SWISSPROT]sp|Q54387|MGT_STRLI	AF-Q5F5K9-F1-model_v6	12.0	5.585e-09	418	423	414	410	32	422	5	418	0.9904306220095693	0.9787234042553191	Q5F5K9	SWISSPROT	sp|Q54387|MGT_STRLI		Macrolide glycosyltransferase			MGT_STRLI	True	False	90-100%	<30% cryptic
[CARD]gb|AAC75089.1|ARO:3003577|ugd	AF-Q5F5L0-F1-model_v6	13.6	5.822e-08	388	482	327	366	1	324	1	327	0.8427835051546392	0.6784232365145229	Q5F5L0	CARD	gb|AAC75089.1|ARO:3003577|ugd	ARO:3003577	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ugd	True	True	50-70%	<30% cryptic
