neig1_id	query	target	pident	evalue	qlen	tlen	alnlen	bits	tstart	tend	qstart	qend	qcov	tcov	query_source	query_clean	aro	gene_family	drug_class	mechanism	short_name	cryptic	has_human	tcov_tier	pident_tier	uniprot_gene	uniprot_name	amr_keywords	has_amr_kw	kegg_id	pdb_refs	mean_plddt	pident_cat	tcov_cat	kegg_pathways
A0A0H4IW93	[CARD]gb|BCG06510.1|ARO:3007266|MCR-3.20	AF-A0A0H4IW93-F1-model_v6	40.5	5.472e-49	447	472	446	1999	27	472	2	447	0.9977628635346756	0.9449152542372882	CARD	gb|BCG06510.1|ARO:3007266|MCR-3.20	ARO:3007266	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	MCR-3.20	False	False	90-100%	30-50% remote		Phosphoethanolamine transferase EptA		False			236.5	"30-50%
remote"	90-100%	
A0A0H4IWD4	[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4IWD4-F1-model_v6	12.4	2.433e-06	374	237	236	313	2	237	44	219	0.6310160427807486	0.9957805907172996	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic				False			119.0	"<30%
cryptic"	90-100%	
A0A0H4IWF0	[SWISSPROT]sp|Q81W73|FOSB2_BACAN	AF-A0A0H4IWF0-F1-model_v6	20.0	8.033e-06	139	113	101	248	2	102	29	120	0.7266187050359713	0.8938053097345132	SWISSPROT	sp|Q81W73|FOSB2_BACAN		Metallothiol transferase FosB 2			FOSB2_BACAN	True	True	70-90%	<30% cryptic		Aldoketomutase		False			57.0	"<30%
cryptic"	70-90%	
A0A0H4J5B4	[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4J5B4-F1-model_v6	14.5	2.023e-08	374	229	228	401	2	229	44	219	0.6096256684491979	0.9956331877729258	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic				False			115.0	"<30%
cryptic"	90-100%	
A0A0H4J5E9	[SWISSPROT]sp|A8C927|NPMA_ECOLX	AF-A0A0H4J5E9-F1-model_v6	11.2	2.135e-07	219	508	289	308	14	302	3	216	1.0	0.5688976377952756	SWISSPROT	sp|A8C927|NPMA_ECOLX		16S rRNA (adenine(1408)-N(1))-methyltransferase			NPMA_ECOLX	True	False	50-70%	<30% cryptic				False			254.5	"<30%
cryptic"	50-70%	
A0A0H4J5N9	[CARD]gb|CDO13836.1|ARO:3005044|OmpA	AF-A0A0H4J5N9-F1-model_v6	12.7	5.69e-08	374	234	231	382	4	234	44	219	0.6176470588235294	0.9871794871794872	CARD	gb|CDO13836.1|ARO:3005044|OmpA	ARO:3005044	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic	OmpA	True	False	90-100%	<30% cryptic				False			117.5	"<30%
cryptic"	90-100%	
O87407	[SWISSPROT]sp|P0A6N3|EFTU_ECO57	AF-O87407-F1-model_v6	17.3	2.596e-09	394	485	233	422	166	398	1	231	0.5913705583756346	0.48041237113402063	SWISSPROT	sp|P0A6N3|EFTU_ECO57		Elongation factor Tu			EFTU_ECO57	True	True	30-50%	<30% cryptic	der	GTPase Der		False			243.0	"<30%
cryptic"	30-50%	
Q5F4X8	[CARD]gb|AAC74000.1|ARO:3003950|msbA	AF-Q5F4X8-F1-model_v6	34.8	5.239e-45	582	622	598	2289	14	611	9	578	1.0	0.9614147909967846	CARD	gb|AAC74000.1|ARO:3003950|msbA	ARO:3003950	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux	msbA	False	True	90-100%	30-50% remote	msbA	ATP-dependent lipid A-core flippase		False			311.5	"30-50%
remote"	90-100%	ABC transporters
Q5F4Y0	[SWISSPROT]sp|P0AEK6|FABI_SHIFL	AF-Q5F4Y0-F1-model_v6	22.4	1.015e-17	262	248	249	738	5	245	3	251	0.950381679389313	1.0	SWISSPROT	sp|P0AEK6|FABI_SHIFL		Enoyl-[acyl-carrier-protein] reductase [NADH] FabI			FABI_SHIFL	True	True	90-100%	<30% cryptic	fabG	3-oxoacyl-[acyl-carrier-protein] reductase		False			124.5	"<30%
cryptic"	90-100%	Fatty acid biosynthesis;Biotin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism;Biosynthesis of cofactors
Q5F4Y3	[SWISSPROT]sp|P18644|TSNR_STRAJ	AF-Q5F4Y3-F1-model_v6	11.0	1.992e-06	269	241	234	284	3	236	54	265	0.8698884758364313	0.970954356846473	SWISSPROT	sp|P18644|TSNR_STRAJ		23S rRNA (adenosine(1067)-2'-O)-methyltransferase			TSNR_STRAJ	True	False	90-100%	<30% cryptic		Ribosomal RNA small subunit methyltransferase E		False			121.0	"<30%
cryptic"	90-100%	
Q5F4Y4	[CARD]gb|ABG48543.1|ARO:3005052|LpsA	AF-Q5F4Y4-F1-model_v6	26.8	3.471e-19	256	280	279	749	2	280	7	256	1.0	0.9964285714285714	CARD	gb|ABG48543.1|ARO:3005052|LpsA	ARO:3005052	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic	LpsA	True	True	90-100%	<30% cryptic				False			140.5	"<30%
cryptic"	90-100%	
Q5F4Y5	[SWISSPROT]sp|A0A0H3JVA1|TARS_STAAW	AF-Q5F4Y5-F1-model_v6	16.3	4.138e-13	573	338	334	634	2	335	1	325	0.5828970331588132	0.9881656804733728	SWISSPROT	sp|A0A0H3JVA1|TARS_STAAW		Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase			TARS_STAAW	True	False	90-100%	<30% cryptic				False			169.5	"<30%
cryptic"	90-100%	
Q5F4Y6	[CARD]gb|ABG48543.1|ARO:3005052|LpsA	AF-Q5F4Y6-F1-model_v6	29.6	1.751e-19	256	279	255	760	2	256	6	248	0.99609375	0.9139784946236559	CARD	gb|ABG48543.1|ARO:3005052|LpsA	ARO:3005052	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic	LpsA	True	True	90-100%	<30% cryptic				False			140.0	"<30%
cryptic"	90-100%	
Q5F4Z6	[SWISSPROT]sp|P0A2Y9|ATP6_STRR6	AF-Q5F4Z6-F1-model_v6	23.7	1.926e-08	238	288	258	448	27	284	1	232	1.0	0.8958333333333334	SWISSPROT	sp|P0A2Y9|ATP6_STRR6		ATP synthase subunit a			ATP6_STRR6	True	False	70-90%	<30% cryptic	atpB	ATP synthase subunit a		False			144.5	"<30%
cryptic"	70-90%	Oxidative phosphorylation;Metabolic pathways
Q5F501	[CARD]gb|CAA79966.1|ARO:3003665|NmcR	AF-Q5F501-F1-model_v6	12.9	6.631e-06	295	288	222	266	40	261	89	289	0.752542372881356	0.7708333333333334	CARD	gb|CAA79966.1|ARO:3003665|NmcR	ARO:3003665	IMI beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	NmcR	True	False	70-90%	<30% cryptic		Lipoprotein		False			144.5	"<30%
cryptic"	70-90%	ABC transporters
Q5F503	[SWISSPROT]sp|Q9K619|BCEA_HALH5	AF-Q5F503-F1-model_v6	28.7	5.0960000000000004e-26	253	266	246	1099	20	265	1	242	0.9723320158102767	0.924812030075188	SWISSPROT	sp|Q9K619|BCEA_HALH5		Bacitracin export ATP-binding protein BceA			BCEA_HALH5	True	True	90-100%	<30% cryptic		Cell division ATP-binding protein FtsE		False			133.5	"<30%
cryptic"	90-100%	ABC transporters
Q5F511	[CARD]gb|CDO12042.1|ARO:3005053|ArnT	AF-Q5F511-F1-model_v6	13.1	7.115e-13	551	558	540	738	19	545	8	547	0.9800362976406534	0.967741935483871	CARD	gb|CDO12042.1|ARO:3005053|ArnT	ARO:3005053	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ArnT	True	False	90-100%	<30% cryptic				False			279.5	"<30%
cryptic"	90-100%	
Q5F514	[CARD]gb|APB03220.1|ARO:3003987|VatI	AF-Q5F514-F1-model_v6	23.1	9.934e-08	210	171	144	363	56	170	26	169	0.6857142857142857	0.8421052631578947	CARD	gb|APB03220.1|ARO:3003987|VatI	ARO:3003987	streptogramin vat acetyltransferase	streptogramin A antibiotic;streptogramin antibiotic	antibiotic inactivation	VatI	True	False	70-90%	<30% cryptic				False			86.0	"<30%
cryptic"	70-90%	
Q5F522	[CARD]gb|ADZ12700.1|ARO:3005090|RanB	AF-Q5F522-F1-model_v6	27.2	1.303e-12	253	258	246	688	9	252	3	248	0.9723320158102767	0.9534883720930233	CARD	gb|ADZ12700.1|ARO:3005090|RanB	ARO:3005090	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanB	True	False	90-100%	<30% cryptic		Intermembrane phospholipid transport system permease protein MlaE		False			129.5	"<30%
cryptic"	90-100%	
Q5F523	[CARD]gb|ADZ12699.1|ARO:3005091|RanA	AF-Q5F523-F1-model_v6	33.6	2.058e-26	258	266	238	1103	7	244	2	239	0.9224806201550387	0.8947368421052632	CARD	gb|ADZ12699.1|ARO:3005091|RanA	ARO:3005091	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanA	False	True	70-90%	30-50% remote				False			133.5	"30-50%
remote"	70-90%	ABC transporters
Q5F526	[CARD]gb|AAP82271.1|ARO:3004123|Bpse_Omp38	AF-Q5F526-F1-model_v6	9.9	1.891e-08	374	507	350	389	191	507	25	374	0.9358288770053476	0.6903353057199211	CARD	gb|AAP82271.1|ARO:3004123|Bpse_Omp38	ARO:3004123	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	reduced permeability to antibiotic	Bpse_Omp38	True	False	50-70%	<30% cryptic		DUF560 domain-containing protein		False			254.0	"<30%
cryptic"	50-70%	
Q5F538	[SWISSPROT]sp|Q5HG20|DCDA_STAAC	AF-Q5F538-F1-model_v6	33.8	2.309e-42	421	406	410	1693	2	402	10	419	0.9738717339667459	1.0	SWISSPROT	sp|Q5HG20|DCDA_STAAC		Diaminopimelate decarboxylase			DCDA_STAAC	False	True	90-100%	30-50% remote	lysA	Diaminopimelate decarboxylase		False			203.5	"30-50%
remote"	90-100%	
Q5F548	[CARD]gb|ADZ12699.1|ARO:3005091|RanA	AF-Q5F548-F1-model_v6	22.3	2.207e-21	258	252	239	901	1	234	1	239	0.9263565891472868	0.9484126984126984	CARD	gb|ADZ12699.1|ARO:3005091|RanA	ARO:3005091	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanA	True	True	90-100%	<30% cryptic				False			126.5	"<30%
cryptic"	90-100%	
Q5F560	[SWISSPROT]sp|P12921|TMRB_BACSU	AF-Q5F560-F1-model_v6	19.6	1.002e-07	197	172	170	319	4	172	2	171	0.8629441624365483	0.9883720930232558	SWISSPROT	sp|P12921|TMRB_BACSU		Tunicamycin resistance protein			TMRB_BACSU	True	True	90-100%	<30% cryptic		Gluconokinase		False			86.5	"<30%
cryptic"	90-100%	Pentose phosphate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism
Q5F561	[SWISSPROT]sp|O34640|AMIN_BACSU	AF-Q5F561-F1-model_v6	16.5	1.708e-15	336	305	310	766	8	304	12	321	0.9226190476190477	1.0	SWISSPROT	sp|O34640|AMIN_BACSU		Amicoumacin kinase			AMIN_BACSU	True	False	90-100%	<30% cryptic	thrB	Homoserine kinase		False			153.0	"<30%
cryptic"	90-100%	Glycine, serine and threonine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids
Q5F562	[SWISSPROT]sp|P25397|TEHB_ECOLI	AF-Q5F562-F1-model_v6	10.3	2.604e-12	197	242	196	483	46	241	21	196	0.9949238578680203	0.8099173553719008	SWISSPROT	sp|P25397|TEHB_ECOLI		Tellurite methyltransferase			TEHB_ECOLI	True	True	70-90%	<30% cryptic	ubiG	Ubiquinone biosynthesis O-methyltransferase		False			121.5	"<30%
cryptic"	70-90%	Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors
Q5F564	[CARD]gb|QFQ03949.1|ARO:3005051|LpsB	AF-Q5F564-F1-model_v6	14.6	7.356e-16	366	351	363	657	3	350	1	363	0.9918032786885246	1.0	CARD	gb|QFQ03949.1|ARO:3005051|LpsB	ARO:3005051	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic	LpsB	True	False	90-100%	<30% cryptic				False			176.0	"<30%
cryptic"	90-100%	
Q5F565	[SWISSPROT]sp|A0A1C3NEV1|MCR2_ECOLX	AF-Q5F565-F1-model_v6	13.6	1.231e-11	538	550	519	585	3	517	19	537	0.9646840148698885	0.9436363636363636	SWISSPROT	sp|A0A1C3NEV1|MCR2_ECOLX		Phosphatidylethanolamine transferase Mcr-2			MCR2_ECOLX	True	False	90-100%	<30% cryptic				False			275.5	"<30%
cryptic"	90-100%	
Q5F566	[SWISSPROT]sp|Q9HZ62|MUPP_PSEAE	AF-Q5F566-F1-model_v6	15.1	1.253e-06	226	187	216	303	1	179	6	221	0.9557522123893806	1.0	SWISSPROT	sp|Q9HZ62|MUPP_PSEAE		N-acetylmuramic acid 6-phosphate phosphatase			MUPP_PSEAE	True	False	90-100%	<30% cryptic		D,D-heptose 1,7-bisphosphate phosphatase		False			94.0	"<30%
cryptic"	90-100%	Biosynthesis of various nucleotide sugars;Metabolic pathways;Biosynthesis of nucleotide sugars
Q5F575	[SWISSPROT]sp|Q88M11|MUPP_PSEPK	AF-Q5F575-F1-model_v6	20.3	4.088e-12	223	242	218	526	3	214	1	218	0.9775784753363229	0.9008264462809917	SWISSPROT	sp|Q88M11|MUPP_PSEPK		N-acetylmuramic acid 6-phosphate phosphatase			MUPP_PSEPK	True	False	90-100%	<30% cryptic				False			121.5	"<30%
cryptic"	90-100%	
Q5F577	[SWISSPROT]sp|Q9I5U0|MURU_PSEAE	AF-Q5F577-F1-model_v6	25.2	3.609e-14	224	456	232	551	7	238	2	220	1.0	0.5087719298245614	SWISSPROT	sp|Q9I5U0|MURU_PSEAE		N-acetylmuramate alpha-1-phosphate uridylyltransferase			MURU_PSEAE	True	False	50-70%	<30% cryptic	glmU	Bifunctional protein GlmU		False			228.5	"<30%
cryptic"	50-70%	Amino sugar and nucleotide sugar metabolism;Biosynthesis of various nucleotide sugars;Metabolic pathways;Biosynthesis of nucleotide sugars
Q5F585	[SWISSPROT]sp|P9WFV2|SYI_MYCTO	AF-Q5F585-F1-model_v6	13.6	2.884e-17	1041	684	774	881	2	556	43	816	0.7435158501440923	1.0	SWISSPROT	sp|P9WFV2|SYI_MYCTO		Isoleucine--tRNA ligase			SYI_MYCTO	True	True	90-100%	<30% cryptic	metG	Methionine--tRNA ligase		False			342.5	"<30%
cryptic"	90-100%	Selenocompound metabolism;Aminoacyl-tRNA biosynthesis;Metabolic pathways
Q5F588	[SWISSPROT]sp|O05701|DHPS_STAAU	AF-Q5F588-F1-model_v6	13.7	8.198e-07	267	633	282	313	239	520	3	253	1.0	0.44549763033175355	SWISSPROT	sp|O05701|DHPS_STAAU		Dihydropteroate synthase			DHPS_STAAU	True	False	30-50%	<30% cryptic	thiC	Phosphomethylpyrimidine synthase		False			317.0	"<30%
cryptic"	30-50%	Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors
Q5F590	[SWISSPROT]sp|P32010|DRRA_STRPE	AF-Q5F590-F1-model_v6	25.4	9.114e-24	330	313	284	983	2	285	9	273	0.8606060606060606	0.9073482428115016	SWISSPROT	sp|P32010|DRRA_STRPE		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA			DRRA_STRPE	True	True	90-100%	<30% cryptic				False			157.0	"<30%
cryptic"	90-100%	ABC transporters
Q5F596	[CARD]gb|WP_041258349.1|ARO:3006887|FIA-1	AF-Q5F596-F1-model_v6	22.0	1.915e-13	249	210	204	553	3	206	40	237	0.8192771084337349	0.9714285714285714	CARD	gb|WP_041258349.1|ARO:3006887|FIA-1	ARO:3006887	FIA beta-lactamase	carbapenem	antibiotic inactivation	FIA-1	True	True	90-100%	<30% cryptic				False			105.5	"<30%
cryptic"	90-100%	Pyruvate metabolism;Metabolic pathways
Q5F5A2	[CARD]gb|VWQ00850.1|ARO:3003843|leuO	AF-Q5F5A2-F1-model_v6	14.5	7.909000000000001e-20	314	309	294	812	4	294	21	314	0.9363057324840764	0.9514563106796117	CARD	gb|VWQ00850.1|ARO:3003843|leuO	ARO:3003843	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux	leuO	True	False	90-100%	<30% cryptic		HTH-type transcriptional regulator MetR		False			155.0	"<30%
cryptic"	90-100%	
Q5F5A8	[CARD]gb|AAC75089.1|ARO:3003577|ugd	AF-Q5F5A8-F1-model_v6	11.9	7.993e-09	388	329	295	401	1	295	1	295	0.7603092783505154	0.8966565349544073	CARD	gb|AAC75089.1|ARO:3003577|ugd	ARO:3003577	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ugd	True	True	70-90%	<30% cryptic	gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P)+]		False			165.0	"<30%
cryptic"	70-90%	Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites
Q5F5B4	[SWISSPROT]sp|P25397|TEHB_ECOLI	AF-Q5F5B4-F1-model_v6	16.3	6.652e-10	197	273	186	396	84	269	18	197	0.9441624365482234	0.6813186813186813	SWISSPROT	sp|P25397|TEHB_ECOLI		Tellurite methyltransferase			TEHB_ECOLI	True	True	50-70%	<30% cryptic	prmC	Release factor glutamine methyltransferase		False			137.0	"<30%
cryptic"	50-70%	
Q5F5B5	[CARD]gb|VWQ00850.1|ARO:3003843|leuO	AF-Q5F5B5-F1-model_v6	8.5	2.983e-07	314	284	234	323	24	257	102	314	0.7452229299363057	0.823943661971831	CARD	gb|VWQ00850.1|ARO:3003843|leuO	ARO:3003843	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux	leuO	True	False	70-90%	<30% cryptic				False			142.5	"<30%
cryptic"	70-90%	
Q5F5B6	[CARD]gb|ADZ12699.1|ARO:3005091|RanA	AF-Q5F5B6-F1-model_v6	27.1	5.059e-24	258	243	239	1007	4	241	2	240	0.9263565891472868	0.9835390946502057	CARD	gb|ADZ12699.1|ARO:3005091|RanA	ARO:3005091	ATP-binding cassette (ABC) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux	RanA	True	True	90-100%	<30% cryptic				False			122.0	"<30%
cryptic"	90-100%	
Q5F5C1	[SWISSPROT]sp|A0A0H4TXY1|TET55_UNKP	AF-Q5F5C1-F1-model_v6	12.3	2.25e-09	385	366	349	416	1	349	4	321	0.9064935064935065	0.953551912568306	SWISSPROT	sp|A0A0H4TXY1|TET55_UNKP		Flavin-dependent monooxygenase			TET55_UNKP	True	False	90-100%	<30% cryptic		D-amino-acid oxidase		False			183.5	"<30%
cryptic"	90-100%	
Q5F5C2	[SWISSPROT]sp|O05701|DHPS_STAAU	AF-Q5F5C2-F1-model_v6	12.6	7.837e-06	267	205	253	274	7	202	1	253	0.947565543071161	1.0	SWISSPROT	sp|O05701|DHPS_STAAU		Dihydropteroate synthase			DHPS_STAAU	True	False	90-100%	<30% cryptic	thiE	Thiamine-phosphate synthase		False			103.0	"<30%
cryptic"	90-100%	Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors
Q5F5C8	[SWISSPROT]sp|Q9HWC1|COAX_PSEAE	AF-Q5F5C8-F1-model_v6	25.6	1.099e-19	248	592	243	804	340	581	2	244	0.9798387096774194	0.41047297297297297	SWISSPROT	sp|Q9HWC1|COAX_PSEAE		Type III pantothenate kinase			COAX_PSEAE	True	False	30-50%	<30% cryptic	birA/coaX	Bifunctional enzyme BirA/CoaX		False			296.5	"<30%
cryptic"	30-50%	Pantothenate and CoA biosynthesis;Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors
Q5F5D0	[CARD]gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	AF-Q5F5D0-F1-model_v6	13.0	2.037e-06	350	284	335	314	21	283	12	346	0.9571428571428572	1.0	CARD	gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	ARO:3002948	glycopeptide resistance gene cluster;vanH	glycopeptide antibiotic	antibiotic target alteration	vanH_in_vanO_cl	True	True	90-100%	<30% cryptic	folD	Bifunctional protein FolD		False			142.5	"<30%
cryptic"	90-100%	
Q5F5D5	[CARD]gb|CAB45459.1|ARO:3002914|vanJ	AF-Q5F5D5-F1-model_v6	15.0	1.262e-09	330	259	253	444	2	254	101	330	0.7666666666666667	0.9768339768339769	CARD	gb|CAB45459.1|ARO:3002914|vanJ	ARO:3002914	vanJ membrane protein	glycopeptide antibiotic	antibiotic target alteration	vanJ	True	True	90-100%	<30% cryptic				False			130.0	"<30%
cryptic"	90-100%	Base excision repair
Q5F5D6	[SWISSPROT]sp|P00956|SYI_ECOLI	AF-Q5F5D6-F1-model_v6	11.7	7.17e-08	938	473	850	444	19	473	47	896	0.906183368869936	1.0	SWISSPROT	sp|P00956|SYI_ECOLI		Isoleucine--tRNA ligase			SYI_ECOLI	True	True	90-100%	<30% cryptic	cysS	Cysteine--tRNA ligase		False			237.0	"<30%
cryptic"	90-100%	Aminoacyl-tRNA biosynthesis
Q5F5D8	[CARD]gb|OPG86592.1|ARO:3004626|Erm(49)	AF-Q5F5D8-F1-model_v6	13.3	4.507e-06	304	315	293	279	3	295	31	270	0.9638157894736842	0.9301587301587302	CARD	gb|OPG86592.1|ARO:3004626|Erm(49)	ARO:3004626	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(49)	True	True	90-100%	<30% cryptic		Cytosine-specific methyltransferase		False			158.0	"<30%
cryptic"	90-100%	Cysteine and methionine metabolism;Metabolic pathways
Q5F5D9	[SWISSPROT]sp|P0A6N3|EFTU_ECO57	AF-Q5F5D9-F1-model_v6	16.5	9.704e-08	394	384	224	358	160	383	13	210	0.5685279187817259	0.5833333333333334	SWISSPROT	sp|P0A6N3|EFTU_ECO57		Elongation factor Tu			EFTU_ECO57	True	True	50-70%	<30% cryptic	obg	GTPase Obg		False			192.5	"<30%
cryptic"	50-70%	
