uid	umap_x	umap_y	source	gene_family	mechanism	drug_class
[CARD]gb|ACL13298.1|ARO:3003110|catB10	-1.7755787	7.0998974	AMR_query	chloramphenicol acetyltransferase (CAT)	antibiotic inactivation	phenicol antibiotic
[CARD]gb|AAX14802.1|ARO:3000781|adeJ	17.096308	0.73535997	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	carbapenem;cephalosporin;diami
[CARD]gb|CAC14596.1|ARO:3003057|smeF	12.757398	2.6599357	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	fluoroquinolone antibiotic;mac
[CARD]gb|BAA07390.1|ARO:3002893|tcr3	-2.759471	-10.230034	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|CAA88265.1|ARO:3002898|SAT-3	-1.2840201	5.3721237	AMR_query	streptothricin acetyltransferase (SAT)	antibiotic inactivation	nucleoside antibiotic
[CARD]gb|CAC80727.1|ARO:3000476|tet(31)	-1.4807523	-9.946049	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|CAL48457.1|ARO:3002857|dfrA26	0.39682394	9.172717	AMR_query	trimethoprim resistant dihydrofolate red	antibiotic target replacement	diaminopyrimidine antibiotic
[CARD]gb|AAC76296.1|ARO:3000656|AcrS	0.3686996	6.0317316	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	cephalosporin;disinfecting age
[CARD]gb|CAG34233.2|ARO:3003019|dfrA23	0.28694838	8.797111	AMR_query	trimethoprim resistant dihydrofolate red	antibiotic target replacement	diaminopyrimidine antibiotic
[CARD]gb|AAB41059.1|ARO:3002884|iri	0.7731912	3.1252759	AMR_query	rifampin monooxygenase	antibiotic inactivation	rifamycin antibiotic
[CARD]gb|BAO79432.1|ARO:3000785|cmeC	12.673565	2.7824976	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	cephalosporin;fluoroquinolone 
[CARD]gb|CCP46182.1|ARO:3003035|mfpA	-14.738616	3.6579807	AMR_query	quinolone resistance protein (qnr)	antibiotic target protection	fluoroquinolone antibiotic
[CARD]gb|CAB41414.1|ARO:3002836|lnuB	-0.3066785	4.9548225	AMR_query	lincosamide nucleotidyltransferase (LNU)	antibiotic inactivation	lincosamide antibiotic
[CARD]gb|CCC86795.1|ARO:3001209|mecC	-7.268043	2.2835689	AMR_query	methicillin resistant PBP2	antibiotic target replacement	carbapenem;cephalosporin;monob
[CARD]gb|AAB41956.1|ARO:3000800|MexC	11.351539	4.8059697	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	aminocoumarin antibiotic;amino
[CARD]gb|BAL14456.1|ARO:3000854|SMB-1	-4.899011	-0.6000675	AMR_query	SMB beta-lactamase	antibiotic inactivation	carbapenem;cephalosporin;penic
[CARD]gb|AAC75136.1|ARO:3000793|mdtB	17.26424	1.200753	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	aminocoumarin antibiotic
[CARD]gb|ACG70184.1|ARO:3002788|QnrD1	-14.730754	3.6698213	AMR_query	quinolone resistance protein (qnr)	antibiotic target protection	fluoroquinolone antibiotic
[CARD]gb|AAM09849.1|ARO:3000005|vanD	3.7071402	5.2956715	AMR_query	Van ligase;glycopeptide resistance gene 	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|AHA41499.1|ARO:3002948|vanH_in_vanO_cl	3.048223	5.5503964	AMR_query	glycopeptide resistance gene cluster;van	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|AAN28721.1|ARO:3002871|tet(37)	-1.8616672	7.171187	AMR_query	tetracycline inactivation enzyme	antibiotic inactivation	tetracycline antibiotic
[CARD]gb|ACX92987.1|ARO:3002845|vatH	-1.9668831	7.3033786	AMR_query	streptogramin vat acetyltransferase	antibiotic inactivation	streptogramin A antibiotic;str
[CARD]gb|AEM44651.1|ARO:3001968|CTX-M-108	-8.61789	-0.5231208	AMR_query	CTX-M beta-lactamase	antibiotic inactivation	cephalosporin
[CARD]gb|BAB56495.1|ARO:3000746|mepR	0.22557327	5.9442286	AMR_query	multidrug and toxic compound extrusion (	antibiotic efflux	glycylcycline;tetracycline ant
[CARD]gb|AAL14440.1|ARO:3000775|adeB	17.229822	1.1528001	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	glycylcycline;tetracycline ant
[CARD]gb|BAE77933.1|ARO:3000518|CRP	0.9466826	6.1711164	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	fluoroquinolone antibiotic;mac
[CARD]gb|AAC61671.1|ARO:3002842|vatC	-1.9869512	7.3229437	AMR_query	streptogramin vat acetyltransferase	antibiotic inactivation	streptogramin A antibiotic;str
[CARD]gb|CAC81324.1|ARO:3003015|dfrA19	0.27926058	8.771356	AMR_query	trimethoprim resistant dihydrofolate red	antibiotic target replacement	diaminopyrimidine antibiotic
[CARD]gb|CAC14595.1|ARO:3003056|smeE	17.066925	0.64264375	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	fluoroquinolone antibiotic;mac
[CARD]gb|ACH58994.1|ARO:3002512|LRA-17	-4.494956	-0.42617217	AMR_query	subclass B3 LRA beta-lactamase	antibiotic inactivation	cephalosporin;penicillin beta-
[CARD]gb|AAL68827.1|ARO:3000605|Erm(36)	-3.5167437	4.818644	AMR_query	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	lincosamide antibiotic;macroli
[CARD]gb|AGV10818.1|ARO:3002669|APH(2'')-Ig	0.39184922	5.031811	AMR_query	APH(2'')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|CAD70268.1|ARO:3002704|fexA	-2.0279021	-10.717316	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	phenicol antibiotic
[CARD]gb|AHE40557.1|ARO:3002626|ANT(6)-Ia	-0.22167967	4.8205414	AMR_query	ANT(6)	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|AAG24866.1|ARO:3001430|OXA-36	-7.819959	0.178889	AMR_query	OXA beta-lactamase	antibiotic inactivation	penicillin beta-lactam
[CARD]gb|ADO50679.1|ARO:3002295|VIM-25	-3.8784318	-0.62573093	AMR_query	VIM beta-lactamase	antibiotic inactivation	carbapenem;cephalosporin;penic
[CARD]gb|AAC32027.1|ARO:3002817|carA	2.5654325	0.332807	AMR_query	Miscellaneous ABC-F subfamily ATP-bindin	antibiotic target protection	macrolide antibiotic
[CARD]gb|CAA62365.1|ARO:3002645|APH(3')-IIb	0.26063508	4.580599	AMR_query	APH(3')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|BAD10948.2|ARO:3002563|AAC(6')-Isa	-1.1111729	4.8059025	AMR_query	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|AAD04032.1|ARO:3002892|otr(B)	-2.76669	-10.221544	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|CAM12479.1|ARO:3000567|tet(40)	-1.5622222	-10.632371	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AAD25538.1|ARO:3000174|tet(G)	-1.4771975	-9.743682	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AAC75089.1|ARO:3003577|ugd	4.251904	4.285135	AMR_query	pmr phosphoethanolamine transferase	antibiotic target alteration	peptide antibiotic
[CARD]gb|ABX00624.1|ARO:3002881|lmrC	2.5082772	0.32792073	AMR_query	Miscellaneous ABC-F subfamily ATP-bindin	antibiotic target protection	lincosamide antibiotic
[CARD]gb|AAC73564.1|ARO:3000216|acrB	17.061481	0.61967367	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	cephalosporin;disinfecting age
[CARD]gb|AAA16194.1|ARO:3002540|AAC(3)-VIa	0.5179429	3.977398	AMR_query	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|CBH51824.1|ARO:3002629|ANT(6)-Ib	-0.21374822	4.849033	AMR_query	ANT(6)	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|AAC64366.1|ARO:3002847|arr-2	-1.3464587	6.886382	AMR_query	rifampin ADP-ribosyltransferase (Arr)	antibiotic inactivation	rifamycin antibiotic
[CARD]gb|CAD53575.1|ARO:3002531|AAC(3)-Ic	-1.7703413	5.1481295	AMR_query	AAC(3)	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|AAW66497.1|ARO:3000566|tet(39)	-1.433974	-9.788758	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AAG05881.1|ARO:3000803|MexE	11.433217	4.8806314	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	diaminopyrimidine antibiotic;f
[CARD]gb|AAD12753.1|ARO:3000177|tet(J)	-1.4323819	-9.836366	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AAB84282.1|ARO:3000181|tet(V)	-1.8500453	-9.334607	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AAB63533.1|ARO:3002556|AAC(6')-Ii	-1.2352759	5.532681	AMR_query	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|ADG84870.1|ARO:3002858|dfrA12	0.35337943	9.128385	AMR_query	trimethoprim resistant dihydrofolate red	antibiotic target replacement	diaminopyrimidine antibiotic
[CARD]gb|ABG91835.1|ARO:3002860|dfrA17	0.3922875	9.164747	AMR_query	trimethoprim resistant dihydrofolate red	antibiotic target replacement	diaminopyrimidine antibiotic
[CARD]gb|AAM09851.1|ARO:3002923|vanR_in_vanD_cl	0.92982507	7.105678	AMR_query	glycopeptide resistance gene cluster;van	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|CAA11706.1|ARO:3001303|ErmO-srmA	-3.562317	4.860432	AMR_query	Erm 23S ribosomal RNA methyltransferase	antibiotic target alteration	lincosamide antibiotic;macroli
[CARD]gb|AAK99679.1|ARO:3000822|pmrA	-1.5228493	-10.510731	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	fluoroquinolone antibiotic
[CARD]gb|CAD12227.2|ARO:3000478|tet(33)	-1.6662247	-9.552759	AMR_query	major facilitator superfamily (MFS) anti	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AAK37619.1|ARO:3000481|tet(35)	1.804918	-7.009703	AMR_query	ATP-binding cassette (ABC) antibiotic ef	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AND91341.1|ARO:3000856|BJP-1	-4.8540616	-0.5962974	AMR_query	BJP beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|ACL82962.1|ARO:3002953|vanX_in_vanM_cl	-1.4054003	3.5231001	AMR_query	glycopeptide resistance gene cluster;van	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|AAR96051.1|ARO:3002894|otr(C)	1.1528451	3.863381	AMR_query	ATP-binding cassette (ABC) antibiotic ef	antibiotic efflux	tetracycline antibiotic
[CARD]gb|AAF01499.1|ARO:3000193|tet(T)	-1.6111597	-4.067189	AMR_query	tetracycline-resistant ribosomal protect	antibiotic target protection	tetracycline antibiotic
[CARD]gb|ACS83559.1|ARO:3004601|LnuP	-0.922546	5.6447577	AMR_query	lincosamide nucleotidyltransferase (LNU)	antibiotic inactivation	lincosamide antibiotic
[CARD]gb|AAG03546.1|ARO:3003679|TriA	11.349743	4.795764	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	disinfecting agents and antise
[CARD]gb|AAG03547.1|ARO:3003680|TriB	11.403334	4.73882	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	disinfecting agents and antise
[CARD]gb|AAG03548.1|ARO:3003681|TriC	17.231829	1.1453655	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	disinfecting agents and antise
[CARD]gb|AAG08359.1|ARO:3003682|OpmH	12.792607	2.6662948	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	disinfecting agents and antise
[CARD]gb|BAE06007.1|ARO:3003698|mexP	11.426646	4.74938	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	carbapenem;diaminopyrimidine a
[CARD]gb|BAE06008.1|ARO:3003699|mexQ	17.27128	1.1392785	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	carbapenem;diaminopyrimidine a
[CARD]gb|AAG07065.1|ARO:3003692|MexJ	11.371231	4.7393403	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	disinfecting agents and antise
[CARD]gb|AAG07064.1|ARO:3003693|MexK	17.19806	1.0925926	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	disinfecting agents and antise
[CARD]gb|AAG07762.1|ARO:3003030|MexV	11.348735	4.7700505	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	disinfecting agents and antise
[CARD]gb|AAG07763.1|ARO:3003031|MexW	17.220528	1.1385174	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	disinfecting agents and antise
[CARD]gb|BAE06009.1|ARO:3003700|opmE	12.799417	2.657248	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	carbapenem;diaminopyrimidine a
[CARD]gb|BAE06005.1|ARO:3003704|mexM	11.39097	4.7895226	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	phenicol antibiotic
[CARD]gb|BAE06006.1|ARO:3003705|mexN	17.27889	1.2318091	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	phenicol antibiotic
[CARD]gb|BAM46120.1|ARO:3003677|AAC(6')-Iaj	-1.1526363	5.6805615	AMR_query	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|ALU64000.1|ARO:3003713|VCC-1	-8.447755	0.21320608	AMR_query	VCC beta-lactamase	antibiotic inactivation	carbapenem;monobactam;penicill
[CARD]gb|AJP77059.1|ARO:3003670|PEDO-1	-4.39023	-0.3986348	AMR_query	subclass B3 PEDO beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|AJP77071.1|ARO:3003714|PEDO-2	-4.3400617	-0.39641342	AMR_query	subclass B3 PEDO beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|AJP77076.1|ARO:3003715|PEDO-3	-3.6994593	-1.5185986	AMR_query	subclass B1 PEDO beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|AJP77054.1|ARO:3003716|CPS-1	-4.332173	-0.41173226	AMR_query	CPS beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|AJP77085.1|ARO:3003717|ESP-1	-4.343034	-0.36718494	AMR_query	ESP beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|AJP77057.1|ARO:3003718|MSI-1	-5.0659246	-0.68523365	AMR_query	MSI beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|AJP77058.1|ARO:3003719|MSI-OXA	-7.6856246	-0.023633778	AMR_query	MSI-OXA family beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|AJP77080.1|ARO:3003720|SPG-1	-4.970055	-0.6258767	AMR_query	SPG beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|CAB45459.1|ARO:3002914|vanJ	-0.7692038	2.2240665	AMR_query	vanJ membrane protein	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|ASE57902.1|ARO:3003731|fusD	-0.23078473	4.6014447	AMR_query	Target protecting FusB-type protein conf	antibiotic target protection	fusidane antibiotic
[CARD]gb|BAL43359.1|ARO:3003742|mphG	-0.38406593	3.878929	AMR_query	macrolide phosphotransferase (MPH)	antibiotic inactivation	macrolide antibiotic
[CARD]gb|KTE89608.1|ARO:3003723|vanI	3.6964138	5.0876446	AMR_query	Van ligase;glycopeptide resistance gene 	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|AAF63432.1|ARO:3003744|vatF	-1.8255793	7.1452055	AMR_query	streptogramin vat acetyltransferase	antibiotic inactivation	streptogramin A antibiotic;str
[CARD]gb|AGT57825.1|ARO:3003762|lnuE	-0.9183426	5.617993	AMR_query	lincosamide nucleotidyltransferase (LNU)	antibiotic inactivation	lincosamide antibiotic
[CARD]gb|AAA26793.1|ARO:3003748|oleC	1.0511327	3.7354403	AMR_query	ATP-binding cassette (ABC) antibiotic ef	antibiotic efflux	macrolide antibiotic
[CARD]gb|AGN74946.1|ARO:3003749|salA	1.3974168	0.40682194	AMR_query	sal-type ABC-F protein	antibiotic target protection	lincosamide antibiotic;pleurom
[CARD]gb|AJD73064.1|ARO:3001301|RlmA(II)	3.5435023	5.3608375	AMR_query	non-erm 23S ribosomal RNA methyltransfer	antibiotic target alteration	lincosamide antibiotic;macroli
[CARD]gb|ACM47284.1|ARO:3002934|vanS_in_vanD_cl	0.8099637	1.7208642	AMR_query	glycopeptide resistance gene cluster;van	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|CAC99773.1|ARO:3003770|Lmon_mprF	1.5167228	1.1844893	AMR_query	defensin resistant mprF	antibiotic target alteration	peptide antibiotic
[CARD]gb|AAN33774.1|ARO:3003772|Bsui_mprF	1.5727642	1.2139401	AMR_query	defensin resistant mprF	antibiotic target alteration	peptide antibiotic
[CARD]gb|ABG86067.1|ARO:3003773|Cper_mprF	1.5763855	0.82523894	AMR_query	defensin resistant mprF	antibiotic target alteration	peptide antibiotic
[CARD]gb|AAN00989.1|ARO:3003774|Saga_mprF	1.4800951	1.1900604	AMR_query	defensin resistant mprF	antibiotic target alteration	peptide antibiotic
[CARD]gb|AMR06225.1|ARO:3003767|mphM	-0.43742853	3.8268142	AMR_query	macrolide phosphotransferase (MPH)	antibiotic inactivation	macrolide antibiotic
[CARD]gb|BAE85478.1|ARO:3003728|vanR_in_vanI_cl	0.9479249	7.084179	AMR_query	glycopeptide resistance gene cluster;van	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|ACL19707.1|ARO:3003725|vanX_in_vanI_cl	-1.4127318	3.5186374	AMR_query	glycopeptide resistance gene cluster;van	antibiotic target alteration	glycopeptide antibiotic
[CARD]gb|CAG41812.1|ARO:3003733|fusC	-0.18343286	4.7377834	AMR_query	Target protecting FusB-type protein conf	antibiotic target protection	fusidane antibiotic
[CARD]gb|AKA86814.1|ARO:3003746|optrA	1.6749914	0.32205644	AMR_query	Miscellaneous ABC-F subfamily ATP-bindin	antibiotic target protection	oxazolidinone antibiotic;pheni
[CARD]gb|CAD37801.1|ARO:3003793|SPM-1	-4.058276	-0.32371822	AMR_query	SPM beta-lactamase	antibiotic inactivation	carbapenem
[CARD]gb|ANK04027.1|ARO:3003838|gadW	0.9028305	5.8003893	AMR_query	resistance-nodulation-cell division (RND	antibiotic efflux	fluoroquinolone antibiotic;mac
[CARD]gb|CAE00499.1|ARO:3003835|cdeA	-1.7404367	-10.757671	AMR_query	multidrug and toxic compound extrusion (	antibiotic efflux	disinfecting agents and antise
[CARD]gb|ALC79293.1|ARO:3003635|OXA-478	-8.281173	0.80148315	AMR_query	OXA beta-lactamase;OXA-63-like beta-lact	antibiotic inactivation	penicillin beta-lactam
[CARD]gb|AAB81957.1|ARO:3004784|FAR-1	-0.90033007	2.135033	AMR_query	FAR beta-lactamase	antibiotic inactivation	penicillin beta-lactam
[CARD]gb|BAQ22139.1|ARO:3003204|TLA-3	-8.597119	0.75969875	AMR_query	TLA beta-lactamase	antibiotic inactivation	cephalosporin;monobactam
[CARD]gb|AIG22447.1|ARO:3002191|MOX-9	10.259045	-12.435965	AMR_query	MOX beta-lactamase	antibiotic inactivation	cephalosporin;penicillin beta-
[CARD]gb|APB03218.1|ARO:3003984|BahA	1.2537469	1.2445133	AMR_query	Bah amidohydrolase	antibiotic inactivation	peptide antibiotic
[CARD]gb|APB03219.1|ARO:3003986|TaeA	1.6591839	0.3240302	AMR_query	ATP-binding cassette (ABC) antibiotic ef	antibiotic efflux	pleuromutilin antibiotic
[CARD]gb|APB03220.1|ARO:3003987|VatI	-1.9237695	7.2515726	AMR_query	streptogramin vat acetyltransferase	antibiotic inactivation	streptogramin A antibiotic;str
[CARD]gb|APB03221.1|ARO:3003988|AAC(2')-IIb	-0.40299422	5.547528	AMR_query	AAC(2')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|APB03223.1|ARO:3003989|AAC(6')-34	-1.4459629	5.2509346	AMR_query	AAC(6')	antibiotic inactivation	aminoglycoside antibiotic
[CARD]gb|APB03226.1|ARO:3003991|mphI	-0.20252897	3.923897	AMR_query	macrolide phosphotransferase (MPH)	antibiotic inactivation	macrolide antibiotic
